datetime,open,high,low,close,volume,previous_close,high-low,high-pc,low-pc,tr,atr,upper_band,lower_band,in_uptrend
2018-01-01 00:00:00,13715.65,13715.65,13155.38,13410.03,1676.204807,,560.2700000000004,,,560.2700000000004,,,,True
2018-01-01 04:00:00,13434.98,13818.55,13322.15,13570.35,1302.214836,13410.03,496.39999999999964,408.5199999999986,87.88000000000102,496.39999999999964,,,,True
2018-01-01 08:00:00,13569.98,13735.24,13001.13,13220.56,1319.755931,13570.35,734.1100000000006,164.88999999999942,569.2200000000012,734.1100000000006,,,,True
2018-01-01 12:00:00,13220.56,13330.0,12750.0,13247.0,1831.933153,13220.56,580.0,109.44000000000051,470.5599999999995,580.0,,,,True
2018-01-01 16:00:00,13247.0,13290.65,12940.0,13240.37,1092.337234,13247.0,350.64999999999964,43.649999999999636,307.0,350.64999999999964,,,,True
2018-01-01 20:00:00,13222.03,13599.7,13222.03,13380.0,1387.469883,13240.37,377.6700000000001,359.3299999999999,18.340000000000146,377.6700000000001,,,,True
2018-01-02 00:00:00,13382.16,13850.0,13231.96,13353.78,2365.532926,13380.0,618.0400000000009,470.0,148.04000000000087,618.0400000000009,531.0200000000002,15134.04,11947.919999999998,True
2018-01-02 04:00:00,13353.78,13480.84,12890.02,13343.0,2980.316053,13353.78,590.8199999999997,127.05999999999949,463.7600000000002,590.8199999999997,535.3842857142857,14791.582857142857,11947.919999999998,True
2018-01-02 08:00:00,13343.01,13617.28,13302.59,13490.0,2596.182674,13343.0,314.6900000000005,274.28000000000065,40.409999999999854,314.6900000000005,509.4257142857145,14988.212142857144,11947.919999999998,True
2018-01-02 12:00:00,13490.0,13894.86,13450.46,13690.03,3365.879508,13490.0,444.40000000000146,404.8600000000006,39.54000000000087,444.40000000000146,468.03857142857174,15076.775714285715,12268.544285714284,True
2018-01-02 16:00:00,13690.02,15473.49,13503.0,14732.75,5090.273483,13690.03,1970.4899999999998,1783.4599999999991,187.03000000000065,1970.4899999999998,666.6800000000003,16488.285,12488.204999999998,True
2018-01-02 20:00:00,14710.02,15160.31,14544.0,14675.11,3679.907467,14732.75,616.3099999999995,427.5599999999995,188.75,616.3099999999995,704.6314285714288,16966.049285714285,12738.260714285712,True
2018-01-03 00:00:00,14690.0,15299.99,14660.0,14818.49,3303.83359,14675.11,639.9899999999998,624.8799999999992,15.110000000000582,639.9899999999998,742.1057142857145,17206.312142857143,12753.677857142855,True
2018-01-03 04:00:00,14805.81,15307.56,14795.05,15170.0,3211.702067,14818.49,512.5100000000002,489.0699999999997,23.44000000000051,512.5100000000002,727.0300000000001,17232.395,12870.215,True
2018-01-03 08:00:00,15170.0,15172.99,14150.0,14730.05,4202.802942,15170.0,1022.9899999999998,2.9899999999997817,1020.0,1022.9899999999998,788.7685714285716,17027.800714285713,12870.215,True
2018-01-03 12:00:00,14764.73,15045.51,14400.04,15033.77,2082.734125,14730.05,645.4699999999993,315.46000000000095,330.0099999999984,645.4699999999993,836.0228571428571,17230.843571428573,12870.215,True
2018-01-03 16:00:00,15045.0,15130.0,14671.0,14700.01,1659.697353,15033.77,459.0,96.22999999999956,362.77000000000044,459.0,838.1085714285712,17414.825714285715,12870.215,True
2018-01-03 20:00:00,14700.01,14990.0,14683.0,14919.51,1444.897562,14700.01,307.0,289.9899999999998,17.01000000000022,307.0,600.4671428571427,16637.90142857143,13035.098571428573,True
2018-01-04 00:00:00,14919.51,15280.0,14649.99,15119.97,3062.535646,14919.51,630.0100000000002,360.4899999999998,269.52000000000044,630.0100000000002,602.4242857142856,16772.267857142855,13157.722142857143,True
2018-01-04 04:00:00,15119.97,15119.97,14685.0,14748.0,2839.900442,15119.97,434.96999999999935,0.0,434.96999999999935,434.96999999999935,573.1357142857141,16621.89214285714,13183.077857142858,True
2018-01-04 08:00:00,14734.07,14800.0,13918.04,14539.97,4339.552051,14748.0,881.9599999999991,52.0,829.9599999999991,881.9599999999991,625.9142857142854,16236.762857142856,13183.077857142858,True
2018-01-04 12:00:00,14539.99,14653.4,14181.88,14353.01,3960.831185,14539.97,471.52000000000044,113.43000000000029,358.09000000000015,471.52000000000044,547.1328571428569,16059.03857142857,13183.077857142858,True
2018-01-04 16:00:00,14367.99,14988.0,14238.01,14895.19,3636.616126,14353.01,749.9899999999998,634.9899999999998,115.0,749.9899999999998,562.0642857142856,16299.197857142857,13183.077857142858,True
2018-01-04 20:00:00,14905.0,15100.08,14601.0,15059.54,3490.214124,14895.19,499.0799999999999,204.88999999999942,294.1900000000005,499.0799999999999,567.7899999999998,16553.91,13183.077857142858,True
2018-01-05 00:00:00,15059.56,15200.0,14642.0,14965.37,3624.97469,15059.54,558.0,140.45999999999913,417.5400000000009,558.0,603.6471428571427,16731.94142857143,13183.077857142858,True
2018-01-05 04:00:00,14970.0,15083.63,14600.0,14920.14,3434.498779,14965.37,483.6299999999992,118.2599999999984,365.3700000000008,483.6299999999992,582.7357142857139,16590.02214285714,13183.077857142858,True
2018-01-05 08:00:00,14916.95,16350.0,14880.0,16090.69,4235.324762,14920.14,1470.0,1429.8600000000006,40.13999999999942,1470.0,730.5971428571427,17806.79142857143,13423.208571428571,True
2018-01-05 12:00:00,16090.7,16267.04,15750.0,16087.72,3780.801035,16090.69,517.0400000000009,176.35000000000036,340.6900000000005,517.0400000000009,678.4657142857143,18043.917142857143,13973.122857142858,True
